Brand and model;Year of manufacture;Mileage;Engine power (hp);Fuel type;Transmission type;Trim level / Equipment line;Vehicle condition;Origin;Energy consumption;Power output (kW);Category / Vehicle type;Engine displacement (cc);Price (EUR);Color;Air conditioning / Climate control;Transmission;Number of doors;Number of seats;Drive type;Interior equipment / Interior design;Accident history;Number of previous owners;Maintenance / service history;Inspection status (TÜV/HU);Sale price;Region / city;Listing duration;Seller type;Dealer rating;Body & paint;Panel gaps & fit;Windows & lights;Tires & wheels;Undercarriage & edges;Seats & upholstery;Dashboard & controls;Headliner & carpets;Trunk;Odor;Extras
Skoda Kodiaq;2016;118039;214;petrol;automatic;Base;needs work;trade-in;5.0;159.6;Hatchback;2000;36753;black;manual AC;automatic;5;5;front-wheel;synthetic;Major accident;5;Partial service history;Expiring soon;36753;Leipzig;>6 months;Private;;Good;Slightly uneven;Clear;New;Clean;Good;Good;Clean;Rust;None;Trailer hitch, Rearview camera
Mercedes-Benz C-Class;2022;21116;93;diesel;manual;Trendline;good;private;8.4;69.4;Convertible;1200;29210;black;no AC;manual;5;5;front-wheel;alcantara;Minor accident;3;Partial service history;Expired;29210;Berlin;<7 days;Dealer;4.5;Good;Even;Cracked or yellowed;Uneven wear;Clean;Worn;Scratched;Clean;Moisture;Moisture;Rearview camera, Alloy wheels
Audi A3;2005;115689;180;petrol;manual;Trendline;good;dealer;5.4;134.2;Sedan;2200;75938;silver;dual-zone climate control;manual;4;5;front-wheel;alcantara;Unknown;4;No service history;Expiring soon;75938;Cologne;7-30 days;Dealer;4.1;Fair;Uneven;Cracked or yellowed;Uneven wear;Minor rust;Good;Excellent;Moisture damage;Clean;Smoke;Lane-keeping assist, Trailer hitch, Rearview camera, Alloy wheels
Skoda Kodiaq;2008;118544;218;diesel;manual;Base;acceptable;import;6.8;162.6;Sedan;3000;35356;black;dual-zone climate control;manual;5;5;front-wheel;part-leather;Accident-free;4;Partial service history;Expired;35356;Munich;7-30 days;Private;;Fair;Even;Cracked or yellowed;New;Oil stains;Torn;Excellent;Sagging;Minor stains;Smoke;Park assist, Lane-keeping assist, Trailer hitch, Alloy wheels, Panoramic roof
BMW 3 Series;2015;122569;131;petrol;automatic;Premium;good;import;6.4;97.7;Convertible;1998;32625;beige;no AC;automatic;4;5;front-wheel;cloth;Accident-free;4;Unknown;Unknown;32625;Hamburg;3-6 months;Private;;Poor;Slightly uneven;Cracked or yellowed;Damaged;Clean;Torn;Good;Minor stains;Rust;None;Park assist, Lane-keeping assist, Alloy wheels, Rearview camera, Trailer hitch, Panoramic roof
Skoda Kodiaq;2011;51358;135;petrol;automatic;Comfort;acceptable;trade-in;6.6;100.7;Sedan;2000;15204;red;dual-zone climate control;automatic;4;5;all-wheel;part-leather;Accident-free;3;Partial service history;Unknown;15204;Hamburg;<7 days;Dealer;3.9;Poor;Uneven;Clear;Damaged;Minor rust;Torn;Good;Clean;Clean;Moisture;Rearview camera
BMW 3 Series;2007;94093;288;petrol;manual;Comfort;acceptable;dealer;7.4;214.8;Convertible;2000;1500;beige;no AC;manual;4;5;all-wheel;part-leather;Unknown;5;No service history;Expired;1500;Stuttgart;7-30 days;Dealer;4.4;Poor;Uneven;Cracked or yellowed;Damaged;Minor rust;Excellent;Worn;Clean;Rust;None;Alloy wheels, Trailer hitch
Volkswagen Tiguan;2024;124313;60;petrol;automatic;Trendline;very good;trade-in;5.6;44.7;Sedan;1400;15392;red;no AC;automatic;4;5;front-wheel;part-leather;Unknown;2;Full service history;Valid TÜV/HU;15392;Frankfurt;7-30 days;Private;;Excellent;Slightly uneven;Clear;Uneven wear;Water damage;Torn;Scratched;Sagging;Clean;Pet odor;Lane-keeping assist
Skoda Kodiaq;2024;144447;153;petrol;manual;Excellence;good;dealer;5.4;114.1;Van;1998;6911;blue;no AC;manual;4;5;front-wheel;part-leather;Unknown;3;Partial service history;Unknown;6911;Berlin;1-3 months;Private;;Poor;Slightly uneven;Clear;Uneven wear;Clean;Good;Excellent;Clean;Moisture;Pet odor;Trailer hitch, Rearview camera, Park assist, Alloy wheels, Lane-keeping assist, Panoramic roof
BMW 5 Series;2005;54234;190;diesel;automatic;Sport;good;private;6.4;141.7;Van;2000;11774;red;manual AC;automatic;5;5;all-wheel;cloth;Minor accident;4;No service history;Valid TÜV/HU;11774;Düsseldorf;<7 days;Dealer;3.9;Poor;Even;Clear;Even wear;Minor rust;Good;Excellent;Moisture damage;Clean;Pet odor;Alloy wheels
BMW X3;2019;100822;152;petrol;automatic;Comfort;very good;dealer;6.2;113.3;Sedan;2000;12877;blue;dual-zone climate control;automatic;4;5;front-wheel;synthetic;Minor accident;5;No service history;Expired;12877;Munich;<7 days;Private;;Poor;Uneven;Minor scratches;Uneven wear;Water damage;Excellent;Scratched;Clean;Rust;Smoke;Trailer hitch
Volkswagen Golf;2011;197197;188;hybrid;manual;Excellence;very good;import;3.4;140.2;Coupe;2500;1500;green;automatic climate control;manual;4;5;front-wheel;synthetic;Accident-free;1;Full service history;Expired;1500;Cologne;3-6 months;Private;;Poor;Uneven;Minor scratches;Damaged;Clean;Good;Worn;Moisture damage;Minor stains;Pet odor;None
Toyota Corolla;2017;99322;110;petrol;automatic;Base;acceptable;trade-in;7.4;82.0;Van;1400;33934;green;no AC;automatic;4;4;front-wheel;synthetic;Unknown;3;Partial service history;Valid TÜV/HU;33934;Leipzig;1-3 months;Private;;Excellent;Slightly uneven;Minor scratches;Uneven wear;Oil stains;Torn;Excellent;Minor stains;Minor stains;Moisture;Panoramic roof, Lane-keeping assist, Trailer hitch, Alloy wheels, Rearview camera
Renault Captur;2016;50373;143;petrol;automatic;Sport;good;dealer;6.5;106.6;SUV;1400;29069;red;automatic climate control;automatic;4;5;front-wheel;cloth;Accident-free;2;Unknown;Expiring soon;29069;Düsseldorf;3-6 months;Private;;Excellent;Uneven;Clear;New;Oil stains;Torn;Good;Clean;Minor stains;Smoke;Rearview camera, Park assist, Alloy wheels, Trailer hitch, Panoramic roof, Lane-keeping assist
Skoda Kodiaq;2011;133287;77;petrol;manual;Limited;acceptable;private;5.0;57.4;SUV;1400;17316;grey;automatic climate control;manual;4;5;rear-wheel;leather;Major accident;2;No service history;Expired;17316;Leipzig;>6 months;Private;;Excellent;Uneven;Clear;Even wear;Oil stains;Torn;Scratched;Minor stains;Rust;Moisture;Rearview camera, Lane-keeping assist
Renault Mégane;2023;66252;110;petrol;manual;Premium;good;import;8.8;82.0;Van;1998;46716;red;automatic climate control;manual;4;5;rear-wheel;alcantara;Accident-free;3;Full service history;Unknown;46716;Berlin;7-30 days;Dealer;5.0;Good;Uneven;Clear;Uneven wear;Water damage;Excellent;Excellent;Moisture damage;Minor stains;Smoke;Park assist, Rearview camera, Lane-keeping assist, Panoramic roof
Hyundai i30;2016;110249;74;petrol;automatic;Base;good;import;4.9;55.2;Wagon;1000;34850;white;dual-zone climate control;automatic;4;5;all-wheel;cloth;Major accident;3;Unknown;Unknown;34850;Cologne;3-6 months;Private;;Good;Slightly uneven;Minor scratches;Damaged;Clean;Excellent;Worn;Sagging;Moisture;None;Park assist, Lane-keeping assist, Trailer hitch
Renault Captur;2011;196107;211;diesel;automatic;Base;good;import;9.4;157.3;Sedan;2500;1500;beige;automatic climate control;automatic;2;5;all-wheel;synthetic;Major accident;3;No service history;Expired;1500;Frankfurt;7-30 days;Dealer;3.4;Poor;Uneven;Minor scratches;Even wear;Clean;Torn;Worn;Sagging;Rust;Pet odor;Alloy wheels, Park assist, Rearview camera
Skoda Kodiaq;2010;65788;226;petrol;automatic;Sport;acceptable;dealer;8.4;168.5;Van;2500;12092;red;manual AC;automatic;4;5;front-wheel;alcantara;Major accident;2;Unknown;Expired;12092;Stuttgart;7-30 days;Dealer;2.7;Excellent;Slightly uneven;Clear;Uneven wear;Minor rust;Worn;Excellent;Minor stains;Moisture;Smoke;Lane-keeping assist, Panoramic roof, Alloy wheels, Rearview camera, Trailer hitch
Hyundai i30;2015;112190;196;diesel;automatic;Comfort;very good;trade-in;5.1;146.2;Van;2000;9022;white;no AC;automatic;4;5;front-wheel;leather;Major accident;4;Full service history;Unknown;9022;Berlin;>6 months;Dealer;4.0;Good;Uneven;Clear;Damaged;Oil stains;Torn;Excellent;Minor stains;Minor stains;Smoke;Panoramic roof, Trailer hitch
Skoda Octavia;2018;87023;60;petrol;automatic;Trendline;good;trade-in;5.5;44.7;Hatchback;1400;7658;silver;manual AC;automatic;4;5;front-wheel;synthetic;Unknown;2;No service history;Expiring soon;7658;Munich;3-6 months;Private;;Good;Slightly uneven;Cracked or yellowed;New;Clean;Torn;Worn;Minor stains;Minor stains;Smoke;Park assist, Rearview camera, Panoramic roof
Skoda Octavia;2015;77371;75;diesel;automatic;Trendline;acceptable;private;8.1;55.9;Sedan;1200;44853;green;no AC;automatic;4;5;front-wheel;alcantara;Unknown;4;Unknown;Unknown;44853;Düsseldorf;<7 days;Dealer;2.7;Good;Uneven;Minor scratches;New;Oil stains;Good;Excellent;Clean;Minor stains;Smoke;Lane-keeping assist, Alloy wheels, Rearview camera, Park assist, Panoramic roof
Renault Clio;2022;18492;123;petrol;manual;Sport;acceptable;private;6.3;91.7;Convertible;1600;23830;brown;dual-zone climate control;manual;5;5;front-wheel;part-leather;Major accident;2;Full service history;Valid TÜV/HU;23830;Stuttgart;1-3 months;Private;;Fair;Slightly uneven;Cracked or yellowed;Even wear;Oil stains;Torn;Worn;Minor stains;Minor stains;Pet odor;None
Audi A4;2024;162063;63;hybrid;automatic;Sport;acceptable;dealer;5.5;47.0;Convertible;1200;38284;white;no AC;automatic;3;5;front-wheel;synthetic;Minor accident;2;Partial service history;Expiring soon;38284;Berlin;>6 months;Dealer;3.9;Fair;Uneven;Cracked or yellowed;New;Water damage;Worn;Excellent;Clean;Clean;None;None
Audi Q5;2007;90511;91;hybrid;manual;Base;good;trade-in;4.8;67.9;Hatchback;1200;28469;green;manual AC;manual;4;4;all-wheel;alcantara;Accident-free;4;Unknown;Unknown;28469;Munich;>6 months;Private;;Poor;Uneven;Clear;Even wear;Clean;Worn;Scratched;Clean;Moisture;Smoke;Park assist, Trailer hitch, Alloy wheels
Audi A4;2006;99952;113;hybrid;automatic;Excellence;very good;trade-in;4.6;84.3;Sedan;1800;22977;white;manual AC;automatic;4;5;front-wheel;synthetic;Major accident;1;Full service history;Unknown;22977;Frankfurt;>6 months;Dealer;4.9;Fair;Uneven;Clear;Uneven wear;Water damage;Worn;Good;Clean;Rust;Smoke;Panoramic roof, Lane-keeping assist, Rearview camera, Park assist, Trailer hitch
Skoda Fabia;2008;70734;156;petrol;automatic;Trendline;good;trade-in;4.8;116.3;Wagon;1800;31269;brown;manual AC;automatic;4;5;rear-wheel;alcantara;Accident-free;1;Unknown;Expiring soon;31269;Munich;>6 months;Dealer;4.1;Excellent;Slightly uneven;Cracked or yellowed;Even wear;Water damage;Worn;Worn;Moisture damage;Clean;None;Rearview camera, Park assist, Lane-keeping assist, Alloy wheels, Panoramic roof, Trailer hitch
Opel Astra;2024;169300;75;petrol;automatic;Limited;good;import;4.8;55.9;Convertible;1400;51862;beige;manual AC;automatic;4;5;rear-wheel;alcantara;Accident-free;1;Full service history;Valid TÜV/HU;51862;Hamburg;7-30 days;Private;;Fair;Slightly uneven;Cracked or yellowed;Uneven wear;Clean;Worn;Worn;Minor stains;Clean;Pet odor;Panoramic roof, Lane-keeping assist, Alloy wheels
Ford Focus;2016;7604;140;petrol;manual;Limited;very good;import;5.2;104.4;SUV;1400;30236;beige;no AC;manual;5;5;all-wheel;part-leather;Unknown;4;Partial service history;Valid TÜV/HU;30236;Hamburg;<7 days;Dealer;3.4;Poor;Uneven;Minor scratches;Damaged;Minor rust;Torn;Worn;Clean;Minor stains;Pet odor;Park assist, Panoramic roof, Trailer hitch
Renault Captur;2010;104049;112;petrol;manual;Sport;like new;private;4.7;83.5;Hatchback;1600;19086;black;no AC;manual;5;5;all-wheel;synthetic;Accident-free;1;No service history;Expired;19086;Berlin;>6 months;Dealer;3.3;Fair;Uneven;Cracked or yellowed;New;Water damage;Good;Scratched;Sagging;Rust;Smoke;Trailer hitch, Alloy wheels, Park assist, Panoramic roof, Lane-keeping assist, Rearview camera
Renault Mégane;2006;65349;114;petrol;manual;Base;acceptable;import;5.9;85.0;Wagon;1600;33894;red;dual-zone climate control;manual;5;5;all-wheel;part-leather;Unknown;2;Full service history;Unknown;33894;Cologne;7-30 days;Private;;Fair;Even;Cracked or yellowed;Even wear;Water damage;Torn;Good;Clean;Rust;Pet odor;Trailer hitch, Panoramic roof, Park assist, Rearview camera, Lane-keeping assist, Alloy wheels
Toyota Auris;2020;107850;108;petrol;manual;Comfort;acceptable;trade-in;4.9;80.5;Convertible;2000;34594;silver;no AC;manual;4;5;rear-wheel;alcantara;Accident-free;4;Full service history;Valid TÜV/HU;34594;Düsseldorf;3-6 months;Dealer;3.6;Excellent;Even;Cracked or yellowed;Uneven wear;Minor rust;Torn;Worn;Sagging;Clean;Smoke;Panoramic roof, Lane-keeping assist, Alloy wheels, Trailer hitch, Rearview camera, Park assist
Renault Captur;2018;105364;198;diesel;automatic;Base;acceptable;import;7.6;147.6;Coupe;2200;30814;blue;manual AC;automatic;3;5;front-wheel;leather;Accident-free;1;Partial service history;Valid TÜV/HU;30814;Cologne;1-3 months;Private;;Fair;Uneven;Clear;New;Minor rust;Torn;Good;Moisture damage;Clean;Moisture;Rearview camera, Alloy wheels, Park assist, Trailer hitch
